location,week_day,date_all,date_day,date_month,date_year,date_hour,date_minut,video_original_file_name,mapping_key,video_file_name
valby,sunday,13-02-2022 07:45,13,2,2022,7,45,FILE0190,Valby_13-02-2022/FILE0190.MP4,valby_13-02-2022_07.45_FILE0190.MP4
valby,sunday,13-02-2022 07:53,13,2,2022,7,53,FILE0191,Valby_13-02-2022/FILE0191.MP4,valby_13-02-2022_07.53_FILE0191.MP4
valby,sunday,13-02-2022 08:01,13,2,2022,8,1,FILE0192,Valby_13-02-2022/FILE0192.MP4,valby_13-02-2022_08.01_FILE0192.MP4
valby,sunday,13-02-2022 08:09,13,2,2022,8,9,FILE0193,Valby_13-02-2022/FILE0193.MP4,valby_13-02-2022_08.09_FILE0193.MP4
valby,sunday,13-02-2022 08:17,13,2,2022,8,17,FILE0194,Valby_13-02-2022/FILE0194.MP4,valby_13-02-2022_08.17_FILE0194.MP4
valby,sunday,13-02-2022 08:25,13,2,2022,8,25,FILE0195,Valby_13-02-2022/FILE0195.MP4,valby_13-02-2022_08.25_FILE0195.MP4
valby,sunday,13-02-2022 08:33,13,2,2022,8,33,FILE0196,Valby_13-02-2022/FILE0196.MP4,valby_13-02-2022_08.33_FILE0196.MP4
valby,sunday,13-02-2022 08:41,13,2,2022,8,41,FILE0197,Valby_13-02-2022/FILE0197.MP4,valby_13-02-2022_08.41_FILE0197.MP4
valby,sunday,13-02-2022 08:49,13,2,2022,8,49,FILE0198,Valby_13-02-2022/FILE0198.MP4,valby_13-02-2022_08.49_FILE0198.MP4
valby,sunday,13-02-2022 08:57,13,2,2022,8,57,FILE0199,Valby_13-02-2022/FILE0199.MP4,valby_13-02-2022_08.57_FILE0199.MP4
valby,sunday,13-02-2022 09:05,13,2,2022,9,5,FILE0200,Valby_13-02-2022/FILE0200.MP4,valby_13-02-2022_09.05_FILE0200.MP4
valby,sunday,13-02-2022 09:13,13,2,2022,9,13,FILE0201,Valby_13-02-2022/FILE0201.MP4,valby_13-02-2022_09.13_FILE0201.MP4
valby,sunday,13-02-2022 09:21,13,2,2022,9,21,FILE0202,Valby_13-02-2022/FILE0202.MP4,valby_13-02-2022_09.21_FILE0202.MP4
valby,sunday,13-02-2022 09:29,13,2,2022,9,29,FILE0203,Valby_13-02-2022/FILE0203.MP4,valby_13-02-2022_09.29_FILE0203.MP4
valby,sunday,13-02-2022 09:37,13,2,2022,9,37,FILE0204,Valby_13-02-2022/FILE0204.MP4,valby_13-02-2022_09.37_FILE0204.MP4
valby,sunday,13-02-2022 09:45,13,2,2022,9,45,FILE0205,Valby_13-02-2022/FILE0205.MP4,valby_13-02-2022_09.45_FILE0205.MP4
valby,sunday,13-02-2022 09:53,13,2,2022,9,53,FILE0206,Valby_13-02-2022/FILE0206.MP4,valby_13-02-2022_09.53_FILE0206.MP4
valby,sunday,13-02-2022 10:01,13,2,2022,10,1,FILE0207,Valby_13-02-2022/FILE0207.MP4,valby_13-02-2022_10.01_FILE0207.MP4
valby,sunday,13-02-2022 10:09,13,2,2022,10,9,FILE0208,Valby_13-02-2022/FILE0208.MP4,valby_13-02-2022_10.09_FILE0208.MP4
valby,sunday,13-02-2022 10:17,13,2,2022,10,17,FILE0209,Valby_13-02-2022/FILE0209.MP4,valby_13-02-2022_10.17_FILE0209.MP4
valby,sunday,13-02-2022 10:25,13,2,2022,10,25,FILE0210,Valby_13-02-2022/FILE0210.MP4,valby_13-02-2022_10.25_FILE0210.MP4
valby,sunday,13-02-2022 10:33,13,2,2022,10,33,FILE0211,Valby_13-02-2022/FILE0211.MP4,valby_13-02-2022_10.33_FILE0211.MP4
valby,sunday,13-02-2022 10:41,13,2,2022,10,41,FILE0212,Valby_13-02-2022/FILE0212.MP4,valby_13-02-2022_10.41_FILE0212.MP4
valby,sunday,13-02-2022 10:49,13,2,2022,10,49,FILE0213,Valby_13-02-2022/FILE0213.MP4,valby_13-02-2022_10.49_FILE0213.MP4
valby,sunday,13-02-2022 10:57,13,2,2022,10,57,FILE0214,Valby_13-02-2022/FILE0214.MP4,valby_13-02-2022_10.57_FILE0214.MP4
valby,sunday,13-02-2022 11:05,13,2,2022,11,5,FILE0215,Valby_13-02-2022/FILE0215.MP4,valby_13-02-2022_11.05_FILE0215.MP4
valby,sunday,13-02-2022 11:13,13,2,2022,11,13,FILE0216,Valby_13-02-2022/FILE0216.MP4,valby_13-02-2022_11.13_FILE0216.MP4
valby,sunday,13-02-2022 11:21,13,2,2022,11,21,FILE0217,Valby_13-02-2022/FILE0217.MP4,valby_13-02-2022_11.21_FILE0217.MP4
valby,sunday,13-02-2022 11:29,13,2,2022,11,29,FILE0218,Valby_13-02-2022/FILE0218.MP4,valby_13-02-2022_11.29_FILE0218.MP4
valby,sunday,13-02-2022 11:37,13,2,2022,11,37,FILE0219,Valby_13-02-2022/FILE0219.MP4,valby_13-02-2022_11.37_FILE0219.MP4
valby,sunday,13-02-2022 11:45,13,2,2022,11,45,FILE0220,Valby_13-02-2022/FILE0220.MP4,valby_13-02-2022_11.45_FILE0220.MP4
valby,sunday,13-02-2022 11:53,13,2,2022,11,53,FILE0221,Valby_13-02-2022/FILE0221.MP4,valby_13-02-2022_11.53_FILE0221.MP4
valby,sunday,13-02-2022 12:01,13,2,2022,12,1,FILE0222,Valby_13-02-2022/FILE0222.MP4,valby_13-02-2022_12.01_FILE0222.MP4
valby,sunday,13-02-2022 12:09,13,2,2022,12,9,FILE0223,Valby_13-02-2022/FILE0223.MP4,valby_13-02-2022_12.09_FILE0223.MP4
valby,sunday,13-02-2022 12:17,13,2,2022,12,17,FILE0224,Valby_13-02-2022/FILE0224.MP4,valby_13-02-2022_12.17_FILE0224.MP4
valby,sunday,13-02-2022 12:25,13,2,2022,12,25,FILE0225,Valby_13-02-2022/FILE0225.MP4,valby_13-02-2022_12.25_FILE0225.MP4
valby,sunday,13-02-2022 12:33,13,2,2022,12,33,FILE0226,Valby_13-02-2022/FILE0226.MP4,valby_13-02-2022_12.33_FILE0226.MP4
valby,sunday,13-02-2022 12:41,13,2,2022,12,41,FILE0227,Valby_13-02-2022/FILE0227.MP4,valby_13-02-2022_12.41_FILE0227.MP4
valby,sunday,13-02-2022 12:49,13,2,2022,12,49,FILE0228,Valby_13-02-2022/FILE0228.MP4,valby_13-02-2022_12.49_FILE0228.MP4
valby,sunday,13-02-2022 12:57,13,2,2022,12,57,FILE0229,Valby_13-02-2022/FILE0229.MP4,valby_13-02-2022_12.57_FILE0229.MP4
valby,sunday,13-02-2022 13:05,13,2,2022,13,5,FILE0230,Valby_13-02-2022/FILE0230.MP4,valby_13-02-2022_13.05_FILE0230.MP4
valby,sunday,13-02-2022 13:13,13,2,2022,13,13,FILE0231,Valby_13-02-2022/FILE0231.MP4,valby_13-02-2022_13.13_FILE0231.MP4
valby,sunday,13-02-2022 13:21,13,2,2022,13,21,FILE0232,Valby_13-02-2022/FILE0232.MP4,valby_13-02-2022_13.21_FILE0232.MP4
valby,sunday,13-02-2022 13:29,13,2,2022,13,29,FILE0233,Valby_13-02-2022/FILE0233.MP4,valby_13-02-2022_13.29_FILE0233.MP4
